Link,Text
#main-menu,Jump to navigation
http://www.tacoma.uw.edu,<span class="graphics-uwt_logo_patch_gold"><span class="element-invisible">UW Tacoma patch icon</span></span>
http://www.tacoma.uw.edu,<span class="graphics-uwt_logo_patch_narrow"><span class="element-invisible">UW Tacoma patch icon</span></span>
http://www.tacoma.uw.edu,<img class="print-only" src="http://www.tacoma.uw.edu/sites/all/themes/uwtv6zen/images/graphics/W-transparent.png" alt="UWT Home Link" />
/campus-map/campus-map,Map
http://directory.tacoma.uw.edu,Directory
/calendar/calendar,Calendar
http://myuw.washington.edu,MyUW
/library,Library
/home/tools,Tools
http://gmail.uw.edu/,UW Google Email
http://www.outlook.com/myuw.net,UW Windows Live
http://www.tacoma.uw.edu/uwt/administrative-services/administrators-toolbox,Administrator&#039;s Toolbox
http://alpine.washington.edu/,Alpine
http://uw.instructure.com/,Canvas
http://www.washington.edu/lst/web_tools,Catalyst
http://mmweb.tacoma.washington.edu/uwtmeetings/,MeetingMaker
http://spacescout.uw.edu/,Space Scout
http://panopto.uw.edu,Panopto
http://www.tacoma.uw.edu/uuf,UUF
http://www.tacoma.uw.edu/enrollment-services/time-schedule-registration-guide,Register for classes
http://www.uw.edu,UW Seattle
http://www.uwb.edu,UW Bothell
http://www.tacoma.uw.edu,<span class="graphics-uwt_wordmark_front_white"><span class="element-invisible">University of washington | Tacoma</span></span>
http://www.tacoma.uw.edu,<span class="graphics-uwt_wordmark_not_front_white2"><span class="element-invisible">University of washington | Tacoma</span></span>
http://www.tacoma.uw.edu,<img class="print-only" src="http://www.tacoma.uw.edu/sites/all/themes/uwtv6zen/images/graphics/uwt_wordmark_not_front_white2.png" alt="University of Washington | Tacoma" />
http://www.tacoma.uw.edu,<span class="graphics-uwt_w_wordmark_mobile"><span class="element-invisible">University of washington | Tacoma</span></span>
/institute-technology/institute-technology,Institute of Technology
/institute-technology/institute-technology,Institute of Technology
/institute-technology/institute-technology,Home
/institute-technology/programs,Programs
/institute-technology/computer-science-systems,Computer Science and Systems
